,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Rnf166,0.16396905,0.31994453,0.08590955,0.2193297,0.28585824,0.08841292,0.22959565,0.10671628,0.19715899,0.22940263,0.05572614,0.21587914,0.21703093,0.13597217,0.113574564,0.14306694,0.10447531,0.26954344,0.49449188,0.5375001,0.12203265,0.14863585
Piezo1,0.1328486,0.6348055,0.12747958,0.0011851246,0.0068503767,0.027448634,0.36676124,0.0025596088,0.0099353995,0.3507341,0.00020367649,0.9237377,0.1566345,0.0027545476,0.051873747,0.18458547,0.10339397,0.6635569,0.006604479,0.002488278,0.8135428,0.35188904
Aprt,0.010294615,0.013256282,0.019987615,8.329981e-05,0.0001469477,0.009686962,0.027870467,2.7604849e-05,7.6526296e-05,0.015735574,1.44899905e-05,0.032861084,0.029267771,5.0589533e-05,0.00024215698,0.00043619028,0.024159556,0.037492663,0.0006036861,0.00047180612,0.091743395,0.0652406
Galns,0.064460814,0.25815955,0.09038748,0.14965315,0.22404106,0.035658795,0.16054282,0.019313755,0.058812305,0.22267672,0.0007756038,0.5055265,0.060144715,0.010150446,0.04932025,0.06578958,0.07626292,0.534442,0.39541093,0.3627524,0.068933845,0.1170705
Cbfa2t3,0.013741986,0.018755404,0.1863725,0.056344256,0.27732712,0.013348664,0.68613565,0.0002541714,0.0015834754,0.07775009,7.973934e-05,0.100636855,0.02368557,0.0028028814,0.009636898,0.008880895,0.45979515,0.059725024,0.08455029,0.09350641,0.6493024,0.04122469
Ankrd11,2.293587,4.737352,2.0646684,2.3139117,2.8041449,1.3466365,2.6398373,1.6089246,2.9145129,2.0980082,1.0411385,3.7416677,2.402115,1.8956292,3.7689745,2.0783584,1.6212541,2.6956062,4.563366,4.510361,2.0820348,2.2228503
Sult5a1,0.055415366,0.060471702,0.0019787801,0.0004831316,0.0023266186,0.0056286976,0.00073471374,8.0156846e-05,0.00020825824,0.00034221602,1.3637003e-05,0.0016391339,0.0016670539,0.00014818128,0.0015152377,0.007673303,0.012002137,0.000546711,0.0003844205,0.00058147154,0.094121955,0.1443953
Chmp1a,0.100199826,0.10271819,0.011357441,8.948345e-05,0.00056758913,0.04255252,0.015254382,0.022889553,0.060685784,0.0104706455,0.009130049,0.028806798,0.008245363,0.026971055,0.004684118,0.0081941,0.028586622,0.023074897,0.0048213983,0.0013562724,0.102185585,0.06964905
Vps9d1,0.16394117,0.13093582,0.054182354,0.301354,0.36464918,0.08511514,0.16003503,0.13445455,0.20692337,0.16016494,0.08681874,0.17832795,0.038210068,0.1669534,0.16052401,0.15279165,0.078002885,0.16552356,0.70539325,0.7428346,0.08456982,0.10645416
Fanca,0.008723887,0.9831537,0.030132294,0.020591184,0.02419314,0.0033834067,0.04578653,0.0334757,0.02365572,0.03157795,0.03951078,0.504771,0.015719686,0.027553285,0.19608468,0.037866805,0.025737494,0.062527485,0.14586057,0.15522717,0.010932119,0.017796764
Tcf25,0.46275288,0.32488015,0.021877157,0.1949726,0.37165412,0.15109366,0.07901911,0.19963731,0.39363748,0.09710569,0.117935404,0.14000367,0.036236037,0.31353134,0.16349979,0.2245243,0.079969056,0.11380693,0.5722179,0.5867595,0.12578581,0.14884625
